timestamp,cpu_mean,cpu_std,cpu_min,cpu_max,cpu_trend,cpu_growth_rate,memory_mean,memory_std,memory_trend,memory_growth_rate,heap_trend,heap_growth_rate,stack_trend,stack_growth_rate,latency_mean,latency_max,latency_trend,latency_growth_rate,task_delay_trend,deadline_miss_rate,deadline_trend,queue_trend,queue_growth_rate,cpu_health_score,memory_health_score,stack_health_score,task_health_score,timing_health_score,ai_health_score,resource_health_score,overall_health_score,health_state,cpu_overload_flag,memory_leak_flag,heap_exhaustion_flag,stack_risk_flag,deadline_miss_flag,task_starvation_flag,ai_latency_flag,queue_overflow_flag,fault_type,fault_severity,fault_count,degradation_index,degradation_rate,health_change_rate
17.527,9.086,0.095,8.9,9.2,STABLE,0.3467,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-2.7622,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00105,0.0225
17.527,9.09,0.096,8.9,9.2,STABLE,0.34,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00096,0.0154
18.522,9.094,0.096,8.9,9.2,STABLE,0.3272,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.5054,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00093,0.0171
18.522,9.097,0.097,8.9,9.2,STABLE,0.3174,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-2.2663,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00089,0.0179
18.522,9.1,0.097,8.9,9.2,STABLE,0.3097,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00082,0.0121
19.522,9.103,0.097,8.9,9.2,STABLE,0.2975,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.2467,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00079,0.0137
19.522,9.106,0.097,8.9,9.2,STABLE,0.2879,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.8946,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00076,0.0145
19.522,9.108,0.097,8.9,9.2,STABLE,0.2803,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,100.0,100.0,100.0,35.0,54.37,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4322,-0.00072,0.0124
20.527,9.111,0.097,8.9,9.2,STABLE,0.2692,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.0498,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.0007,0.0135
20.527,9.113,0.096,8.9,9.2,STABLE,0.2604,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.6082,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00068,0.0141
20.527,9.115,0.096,8.9,9.2,STABLE,0.2531,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00062,0.0099
21.522,9.117,0.096,8.9,9.2,STABLE,0.2434,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-0.8948,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00061,0.011
21.522,9.12,0.095,8.9,9.2,STABLE,0.2355,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.3802,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00059,0.0116
21.522,9.121,0.095,8.9,9.2,STABLE,0.2289,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,-0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00054,0.0081
22.522,9.123,0.095,8.9,9.2,STABLE,0.2204,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.7723,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00053,0.0091
22.522,9.125,0.094,8.9,9.2,STABLE,0.2133,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-1.1984,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00052,0.0097
22.522,9.127,0.094,8.9,9.2,STABLE,0.2074,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,100.0,100.0,100.0,35.0,54.37,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4322,-0.00049,0.0083
23.527,9.128,0.093,8.9,9.2,STABLE,0.1999,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-0.6603,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.11,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00048,0.0091
